created_at;favorite_count;full_text;quote_count;reply_count;retweet_count;author;day;month;reply_dummy
Mon Mar 08 01:17:48 +0000 2021;1715;"“Rafael López Aliaga debería retirarse de las elecciones”
""No nos pidan una unión con una persona que va a representar un pequeño sector en una segunda vuelta una minoría"",";181;636;257;HDS;08;3;0
Sun Mar 07 15:08:45 +0000 2021;6726;El viernes salí en favor de la democracia para rechazar el golpe contra la candidaturas de Forsyth y López Aliaga. Hoy salgo para rechazar el golpe que López Aliaga quiere darle al presidente Sagasti.;437;1439;838;HDS;07;3;0
Sun Mar 07 14:55:12 +0000 2021;1213;"Sugiero la lectura de mi entrevista en Perú 21. Reitero que no hay alianza con Rafael López Aliaga. Insisto en que el populismo de Jonhy Lescano ya le está pasando factura al país.
https://t.co/U3SISL0UrP";18;98;237;HDS;07;3;0
Fri Mar 05 20:06:49 +0000 2021;6571;"Saludo la decisión del JNE que reafirma la democracia.
El voto se decidirá el 11 de abril.
Superado el veto. Forsyth, RLA, Ciro Gálvez nos vemos en la cancha!!!";100;510;1028;HDS;05;3;0
Fri Mar 05 16:54:49 +0000 2021;8955;Estoy en estos momentos en el JNE, defendiendo el DERECHO A ELEGIR Y SER ELEGIDO!!! No al Veto y SI al VOTO!!!;196;915;1628;HDS;05;3;0
Thu Mar 04 18:57:23 +0000 2021;8081;"“NO AL VETO, SÍ AL VOTO”
La posibilidad de que algún candidato quede excluído a estas alturas de la
contienda electoral es un escenario que no comparto.
Quiero ganar en la cancha y no con tachas. Nuestros electores necesitan
medirnos por nuestras ideas y propuestas.";195;501;1758;HDS;04;3;0
Wed Mar 03 22:54:37 +0000 2021;774;"""Sagasti no está preparado para la guerra, nosotros sí"".

#deSotoSabe #deSotoPresidente #AvanzaPaís 🚈 https://t.co/ASeV4b54e5";10;47;155;HDS;03;3;0
Wed Mar 03 15:47:19 +0000 2021;642;"""Los pobres no están mas islados, se encuentran aquí tocando las puertas, demandan que se les atienda, ellos son el motor de la economía"". 

#deSotoSabe #deSotoPresidente #AvanzaPaís 🚈 🚈 🚈 https://t.co/Tzm7AySksh";6;22;142;HDS;03;3;0
Tue Mar 02 14:44:14 +0000 2021;486;"“Vamos a constituir un Gobierno de guerra”. - @HDeSotoPeru 

#DeSotoPresidente #DeSotoSabe #AvanzaPaís🚈 https://t.co/x0MI4mllID";9;25;111;HDS;02;3;0
Tue Mar 02 00:05:36 +0000 2021;470;"Propuesta de seguridad
Hernando de Soto

#DeSotoPresidente #deSotoSabe https://t.co/2MHUhoLIkq";6;9;105;HDS;02;3;0
